[ 2025-11-12 15:44:19,657 ] 19 root - INFO - Initiate the data ingestion
[ 2025-11-12 15:44:25,888 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-12 15:44:25,888 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-12 15:44:25,889 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-12 15:44:26,026 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-12 15:44:26,027 ] 21 root - INFO - Data Initiation Completed
[ 2025-11-12 15:44:26,051 ] 25 root - INFO - Initiate the data Validation
[ 2025-11-12 15:44:26,162 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 15:44:26,163 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 15:44:26,164 ] 32 root - INFO - Required number of columns:2
[ 2025-11-12 15:44:26,164 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-12 15:44:26,477 ] 27 root - INFO - data Validation Completed
[ 2025-11-12 15:44:26,477 ] 30 root - INFO - data Transformation started
[ 2025-11-12 15:44:26,478 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-12 15:44:26,478 ] 65 root - INFO - Starting data transformation
[ 2025-11-12 15:44:26,523 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-12 15:44:26,524 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-12 15:44:26,545 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 15:44:26,550 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 15:44:26,551 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 15:44:26,555 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 15:44:26,557 ] 34 root - INFO - data Transformation completed
[ 2025-11-12 15:44:26,558 ] 36 root - INFO - Model Training sstared
[ 2025-11-12 15:51:28,379 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-12 15:51:28,381 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-12 15:51:28,381 ] 148 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_12_2025_15_44_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909708836359947, precision_score=0.9890643985419199, recall_score=0.9928847326692417), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9754724567752312, precision_score=0.9711769415532426, recall_score=0.9798061389337641))
[ 2025-11-12 15:51:28,385 ] 41 root - INFO - Model Training artifact created
